chrom	start	end	xpehh
chr22	40011425	40011426	-2.24387
chr22	40011569	40011570	-2.26888
chr22	40011572	40011573	-2.24807
chr22	40011679	40011680	-2.24807
chr22	40011709	40011710	-2.24807
chr22	40011813	40011814	-2.24807
chr22	40011817	40011818	-2.24717
chr22	40011882	40011883	-2.2844
chr22	40011911	40011912	-2.23631
chr22	40012259	40012260	-2.24388
chr22	40012310	40012311	-2.24388
chr22	40012371	40012372	-2.24388
chr22	40012381	40012382	-2.24388
chr22	40012489	40012490	-2.24388
chr22	40012496	40012497	-2.24388
chr22	40012581	40012582	-2.24388
chr22	40012615	40012616	-2.24388
chr22	40012630	40012631	-2.26227
chr22	40012675	40012676	-2.22522
chr22	40012684	40012685	-2.25381
chr22	40012800	40012801	-2.26738
chr22	40012847	40012848	-2.26151
chr22	40012888	40012889	-2.26151
chr22	40012950	40012951	-2.26151
chr22	40013132	40013133	-2.26151
chr22	40013134	40013135	-2.26738
chr22	40013383	40013384	-2.00359
chr22	40013416	40013417	-2.00359
chr22	40013429	40013430	-2.00359
chr22	40013644	40013645	-2.00359
chr22	40013789	40013790	-2.00359
chr22	40013859	40013860	-2.00359
chr22	40013943	40013944	-2.00359
chr22	40014100	40014101	-2.00359
chr22	40014222	40014223	-2.00359
chr22	40014231	40014232	-2.00359
chr22	40014268	40014269	-2.00359
chr22	40014445	40014446	-2.00359
chr22	40014624	40014625	-2.00359
chr22	40014685	40014686	-2.00359
chr22	40014743	40014744	-1.97398
chr22	40014865	40014866	-1.98757
chr22	40014869	40014870	-1.98757
chr22	40014973	40014974	-1.98757
chr22	40014983	40014984	-1.98757
chr22	40015043	40015044	-1.98757
chr22	40015076	40015077	-1.98757
chr22	40015085	40015086	-1.98757
chr22	40015162	40015163	-1.98757
chr22	40015165	40015166	-1.98757
chr22	40015214	40015215	-1.98757
chr22	40015230	40015231	-1.98757
chr22	40015258	40015259	-1.98757
chr22	40015312	40015313	-1.98757
chr22	40015418	40015419	-1.98757
chr22	40015507	40015508	-1.98757
chr22	40015529	40015530	-1.98757
chr22	40015564	40015565	-1.98757
chr22	40015565	40015566	-1.98757
chr22	40015578	40015579	-1.98757
chr22	40015582	40015583	-1.98757
chr22	40015583	40015584	-2.00574
chr22	40015597	40015598	-1.98512
chr22	40015614	40015615	-1.98512
chr22	40015633	40015634	-1.98512
chr22	40015648	40015649	-1.98512
chr22	40015702	40015703	-1.98512
chr22	40015741	40015742	-1.98512
chr22	40015749	40015750	-1.98512
chr22	40015853	40015854	-1.99991
chr22	40015880	40015881	-1.98943
chr22	40015906	40015907	-1.98943
chr22	40015962	40015963	-1.98943
chr22	40015996	40015997	-2.15387
chr22	40016032	40016033	-1.98964
chr22	40016041	40016042	-1.9984
chr22	40016109	40016110	-1.99152
chr22	40016173	40016174	-1.99152
chr22	40016200	40016201	-1.99152
chr22	40016207	40016208	-1.99152
chr22	40016213	40016214	-1.99152
chr22	40016306	40016307	-2.01005
chr22	40016351	40016352	-1.98311
chr22	40016352	40016353	-1.98311
chr22	40016546	40016547	-2.20646
chr22	40016621	40016622	-2.06351
chr22	40016643	40016644	-2.06351
chr22	40016772	40016773	-2.06351
chr22	40016882	40016883	-2.06351
chr22	40016906	40016907	-2.06351
chr22	40016939	40016940	-2.06351
chr22	40016949	40016950	-2.06351
chr22	40016959	40016960	-2.03005
chr22	40016963	40016964	-2.03971
chr22	40016989	40016990	-2.03971
chr22	40017011	40017012	-2.00625
chr22	40017025	40017026	-1.94974
chr22	40017034	40017035	-1.96822
chr22	40017034	40017035	-1.96822
chr22	40017175	40017176	-2.22994
chr22	40017189	40017190	-2.16982
chr22	40017197	40017198	-2.16982
chr22	40017253	40017254	-2.16982
chr22	40017258	40017259	-2.16982
chr22	40017296	40017297	-2.16982
chr22	40017334	40017335	-2.16982
chr22	40017359	40017360	-2.16982
chr22	40017375	40017376	-2.16982
chr22	40017378	40017379	-2.16982
chr22	40017525	40017526	-2.16982
chr22	40017615	40017616	-2.16982
chr22	40017680	40017681	-2.16982
chr22	40017684	40017685	-2.16982
chr22	40017902	40017903	-2.16982
chr22	40017929	40017930	-2.16982
chr22	40017932	40017933	-2.16982
chr22	40017966	40017967	-2.16982
chr22	40018009	40018010	-2.16982
chr22	40018204	40018205	-2.16982
chr22	40018316	40018317	-2.18578
chr22	40018317	40018318	-2.17945
chr22	40018344	40018345	-2.17945
chr22	40018441	40018442	-2.17945
chr22	40018462	40018463	-2.17945
chr22	40018501	40018502	-2.11173
chr22	40018503	40018504	-2.13381
chr22	40018525	40018526	-2.38403
chr22	40018594	40018595	-2.32081
chr22	40018621	40018622	-2.32081
chr22	40018653	40018654	-2.32081
chr22	40018674	40018675	-2.32081
chr22	40018698	40018699	-2.32081
chr22	40018754	40018755	-2.32081
chr22	40018868	40018869	-2.32081
chr22	40018930	40018931	-2.32081
chr22	40018959	40018960	-2.32081
chr22	40018972	40018973	-2.31699
chr22	40019017	40019018	-2.32291
chr22	40019018	40019019	-2.28793
chr22	40019022	40019023	-2.29796
chr22	40019086	40019087	-2.29796
chr22	40019135	40019136	-2.44813
chr22	40019136	40019137	-2.40518
chr22	40019153	40019154	-2.40518
chr22	40019259	40019260	-2.40518
chr22	40019261	40019262	-2.40518
chr22	40019268	40019269	-2.40518
chr22	40019318	40019319	-2.40518
chr22	40019411	40019412	-2.42528
chr22	40019457	40019458	-2.40218
chr22	40019490	40019491	-2.408
chr22	40019612	40019613	-2.45559
chr22	40019650	40019651	-2.39533
chr22	40019704	40019705	-2.42127
chr22	40019718	40019719	-2.39671
chr22	40019759	40019760	-2.38821
chr22	40019898	40019899	-2.38821
chr22	40019899	40019900	-2.38821
chr22	40019963	40019964	-2.38821
chr22	40019983	40019984	-2.38821
