sample	haplo_Skov	chrom	start	end	CHR	START	END	ovelap	length_Skov	ratio	length	state	mean_prob	snps	admixpopvariants	AltaiNeandertal	Chagyrskaya-Phalanx	Denisova	Vindija33.19	chr_st_end_Skov	SNP	Introgression	plain_origin	pop	chr_st_end
191121_FD09254779	191121_FD09254779_hap2	chr1	89001000	89232000	1	88800562	89326878	231000	231000	1	232000	Archaic	0.98262	202	82	73	2	77	79	1.89001000.89232000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254780	191121_FD09254780_hap1	chr1	89053000	89236000	1	88800562	89326878	183000	183000	1	184000	Archaic	0.97471	170	75	66	2	71	72	1.89053000.89236000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254780	191121_FD09254780_hap2	chr1	89053000	89239000	1	88800562	89326878	186000	186000	1	187000	Archaic	0.97527	173	75	66	2	71	72	1.89053000.89239000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254786	191121_FD09254786_hap1	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99294	245	91	81	2	86	80	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
191121_FD09254786	191121_FD09254786_hap2	chr1	89053000	89236000	1	88800562	89326878	183000	183000	1	184000	Archaic	0.97445	173	75	66	2	71	72	1.89053000.89236000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254787	191121_FD09254787_hap1	chr1	88996000	89315000	1	88800562	89326878	319000	319000	1	320000	Archaic	0.99138	239	90	80	2	86	79	1.88996000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
191121_FD09254787	191121_FD09254787_hap2	chr1	89050000	89237000	1	88800562	89326878	187000	187000	1	188000	Archaic	0.97359	171	75	66	2	71	72	1.89050000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254788	191121_FD09254788_hap1	chr1	89026000	89315000	1	88800562	89326878	289000	289000	1	290000	Archaic	0.98998	223	83	73	2	79	74	1.89026000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
191121_FD09254788	191121_FD09254788_hap2	chr1	89053000	89237000	1	88800562	89326878	184000	184000	1	185000	Archaic	0.97389	171	75	66	2	71	72	1.89053000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254793	191121_FD09254793_hap2	chr1	88997000	89276000	1	88800562	89326878	279000	279000	1	280000	Archaic	0.99014	214	79	70	2	74	76	1.88997000.89276000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254794	191121_FD09254794_hap1	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.97939	172	75	66	2	71	72	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254794	191121_FD09254794_hap2	chr1	89046000	89237000	1	88800562	89326878	191000	191000	1	192000	Archaic	0.97997	174	75	66	2	71	72	1.89046000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254795	191121_FD09254795_hap1	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.97069	227	86	76	2	81	77	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
191121_FD09254795	191121_FD09254795_hap2	chr1	89041000	89238000	1	88800562	89326878	197000	197000	1	198000	Archaic	0.97615	180	76	67	2	72	73	1.89041000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254796	191121_FD09254796_hap1	chr1	89053000	89237000	1	88800562	89326878	184000	184000	1	185000	Archaic	0.97502	163	69	61	2	65	66	1.89053000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254801	191121_FD09254801_hap1	chr1	89053000	89237000	1	88800562	89326878	184000	184000	1	185000	Archaic	0.97247	171	75	66	2	71	72	1.89053000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254801	191121_FD09254801_hap2	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.9882	173	75	66	2	71	72	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254802	191121_FD09254802_hap1	chr1	89001000	89237000	1	88800562	89326878	236000	236000	1	237000	Archaic	0.98621	204	82	73	2	77	79	1.89001000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254802	191121_FD09254802_hap2	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.97909	172	74	65	2	70	71	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254803	191121_FD09254803_hap1	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.97939	176	74	65	2	70	71	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254803	191121_FD09254803_hap2	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.97939	177	75	66	2	71	72	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254804	191121_FD09254804_hap1	chr1	89053000	89237000	1	88800562	89326878	184000	184000	1	185000	Archaic	0.98311	171	75	66	2	71	72	1.89053000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254804	191121_FD09254804_hap2	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.98999	176	75	66	2	71	72	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254809	191121_FD09254809_hap1	chr1	89047000	89237000	1	88800562	89326878	190000	190000	1	191000	Archaic	0.97686	173	75	66	2	71	72	1.89047000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254809	191121_FD09254809_hap2	chr1	88997000	89256000	1	88800562	89326878	259000	259000	1	260000	Archaic	0.99148	215	82	73	2	77	79	1.88997000.89256000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254810	191121_FD09254810_hap2	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.98236	171	74	66	1	71	71	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254811	191121_FD09254811_hap1	chr1	89051000	89237000	1	88800562	89326878	186000	186000	1	187000	Archaic	0.97677	175	75	66	2	71	72	1.89051000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254811	191121_FD09254811_hap2	chr1	89050000	89237000	1	88800562	89326878	187000	187000	1	188000	Archaic	0.97222	173	74	65	2	70	71	1.89050000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254812	191121_FD09254812_hap1	chr1	89049000	89141000	1	88800562	89326878	92000	92000	1	93000	Archaic	0.98186	99	43	36	0	41	41	1.89049000.89141000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254812	191121_FD09254812_hap2	chr1	89135000	89237000	1	88800562	89326878	102000	102000	1	103000	Archaic	0.96466	72	32	30	2	30	31	1.89135000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254817	191121_FD09254817_hap1	chr1	89049000	89238000	1	88800562	89326878	189000	189000	1	190000	Archaic	0.98687	174	75	66	2	71	72	1.89049000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254817	191121_FD09254817_hap2	chr1	89016000	89315000	1	88800562	89326878	299000	299000	1	300000	Archaic	0.99531	232	87	77	2	83	76	1.89016000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
191121_FD09254818	191121_FD09254818_hap1	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.98883	174	75	66	2	71	72	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254818	191121_FD09254818_hap2	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99284	246	91	81	2	86	80	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
191121_FD09254819	191121_FD09254819_hap1	chr1	89053000	89237000	1	88800562	89326878	184000	184000	1	185000	Archaic	0.98399	171	75	66	2	71	72	1.89053000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254819	191121_FD09254819_hap2	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.9796	172	74	65	2	70	71	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254820	191121_FD09254820_hap1	chr1	89118000	89232000	1	88800562	89326878	114000	114000	1	115000	Archaic	0.96255	114	53	47	2	50	50	1.89118000.89232000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254820	191121_FD09254820_hap2	chr1	89051000	89237000	1	88800562	89326878	186000	186000	1	187000	Archaic	0.97382	173	75	66	2	71	72	1.89051000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254825	191121_FD09254825_hap2	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.98982	170	73	64	2	69	70	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254826	191121_FD09254826_hap1	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.99044	173	75	66	2	71	72	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254826	191121_FD09254826_hap2	chr1	89001000	89233000	1	88800562	89326878	232000	232000	1	233000	Archaic	0.98444	203	82	73	2	77	79	1.89001000.89233000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254827	191121_FD09254827_hap1	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.98853	172	75	66	2	71	72	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254833	191121_FD09254833_hap1	chr1	89003000	89233000	1	88800562	89326878	230000	230000	1	231000	Archaic	0.98258	203	82	73	2	77	79	1.89003000.89233000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254833	191121_FD09254833_hap2	chr1	89046000	89237000	1	88800562	89326878	191000	191000	1	192000	Archaic	0.97978	174	75	66	2	71	72	1.89046000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254834	191121_FD09254834_hap1	chr1	89118000	89237000	1	88800562	89326878	119000	119000	1	120000	Archaic	0.95881	115	53	47	2	50	50	1.89118000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254834	191121_FD09254834_hap2	chr1	89118000	89237000	1	88800562	89326878	119000	119000	1	120000	Archaic	0.95881	115	53	47	2	50	50	1.89118000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254835	191121_FD09254835_hap2	chr1	88996000	89317000	1	88800562	89326878	321000	321000	1	322000	Archaic	0.98948	245	91	81	2	86	80	1.88996000.89317000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
O517_DA_C001KL2	O517_DA_C001KL2_hap1	chr1	89011000	89280000	1	88800562	89326878	269000	269000	1	270000	Archaic	0.99243	215	80	71	2	76	77	1.89011000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KL2	O517_DA_C001KL2_hap2	chr1	89011000	89315000	1	88800562	89326878	304000	304000	1	305000	Archaic	0.99501	234	88	78	2	84	77	1.89011000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KL3	O517_DA_C001KL3_hap1	chr1	89011000	89286000	1	88800562	89326878	275000	275000	1	276000	Archaic	0.98929	217	80	71	2	76	77	1.89011000.89286000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KL3	O517_DA_C001KL3_hap2	chr1	89013000	89280000	1	88800562	89326878	267000	267000	1	268000	Archaic	0.99286	214	80	71	2	76	77	1.89013000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KL4	O517_DA_C001KL4_hap1	chr1	89052000	89236000	1	88800562	89326878	184000	184000	1	185000	Archaic	0.97528	171	75	66	2	71	72	1.89052000.89236000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KL4	O517_DA_C001KL4_hap2	chr1	89052000	89236000	1	88800562	89326878	184000	184000	1	185000	Archaic	0.97528	171	75	66	2	71	72	1.89052000.89236000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KL7	O517_DA_C001KL7_hap1	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99297	246	91	81	2	86	80	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KL9	O517_DA_C001KL9_hap2	chr1	89013000	89315000	1	88800562	89326878	302000	302000	1	303000	Archaic	0.9954	233	88	78	2	84	77	1.89013000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLA	O517_DA_C001KLA_hap2	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.96622	163	73	64	2	69	70	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLD	O517_DA_C001KLD_hap1	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99297	241	87	77	2	82	77	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLF	O517_DA_C001KLF_hap1	chr1	89052000	89237000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.97426	168	71	64	2	67	68	1.89052000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLG	O517_DA_C001KLG_hap2	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99288	241	89	80	2	85	78	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLH	O517_DA_C001KLH_hap2	chr1	89011000	89280000	1	88800562	89326878	269000	269000	1	270000	Archaic	0.99223	208	77	69	2	74	74	1.89011000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLI	O517_DA_C001KLI_hap2	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99198	233	83	75	2	78	73	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLL	O517_DA_C001KLL_hap1	chr1	89011000	89280000	1	88800562	89326878	269000	269000	1	270000	Archaic	0.99223	214	80	71	2	76	77	1.89011000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLL	O517_DA_C001KLL_hap2	chr1	89011000	89280000	1	88800562	89326878	269000	269000	1	270000	Archaic	0.9922	215	80	71	2	76	77	1.89011000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLM	O517_DA_C001KLM_hap2	chr1	89049000	89238000	1	88800562	89326878	189000	189000	1	190000	Archaic	0.98487	171	74	65	2	70	71	1.89049000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLO	O517_DA_C001KLO_hap1	chr1	88997000	89133000	1	88800562	89326878	136000	136000	1	137000	Archaic	0.98463	111	43	39	0	41	41	1.88997000.89133000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLO	O517_DA_C001KLO_hap2	chr1	89133000	89315000	1	88800562	89326878	182000	182000	1	183000	Archaic	0.9936	125	43	38	2	40	34	1.89133000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLP	O517_DA_C001KLP_hap2	chr1	89011000	89280000	1	88800562	89326878	269000	269000	1	270000	Archaic	0.99018	211	80	71	2	76	77	1.89011000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLQ	O517_DA_C001KLQ_hap1	chr1	88996000	89315000	1	88800562	89326878	319000	319000	1	320000	Archaic	0.99242	245	91	81	2	86	80	1.88996000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLQ	O517_DA_C001KLQ_hap2	chr1	88996000	89315000	1	88800562	89326878	319000	319000	1	320000	Archaic	0.99148	247	91	81	2	86	80	1.88996000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLR	O517_DA_C001KLR_hap1	chr1	89051000	89237000	1	88800562	89326878	186000	186000	1	187000	Archaic	0.97223	171	73	65	2	70	70	1.89051000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLR	O517_DA_C001KLR_hap2	chr1	88997000	89280000	1	88800562	89326878	283000	283000	1	284000	Archaic	0.99206	224	83	74	2	78	80	1.88997000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLS	O517_DA_C001KLS_hap1	chr1	89136000	89239000	1	88800562	89326878	103000	103000	1	104000	Archaic	0.96669	69	29	28	1	28	28	1.89136000.89239000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLS	O517_DA_C001KLS_hap2	chr1	89053000	89141000	1	88800562	89326878	88000	88000	1	89000	Archaic	0.98803	100	42	35	0	40	40	1.89053000.89141000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLT	O517_DA_C001KLT_hap1	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.98982	246	91	81	2	86	80	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLU	O517_DA_C001KLU_hap1	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99268	246	90	80	2	85	79	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLU	O517_DA_C001KLU_hap2	chr1	88997000	89316000	1	88800562	89326878	319000	319000	1	320000	Archaic	0.99166	246	91	81	2	86	80	1.88997000.89316000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLV	O517_DA_C001KLV_hap1	chr1	89012000	89315000	1	88800562	89326878	303000	303000	1	304000	Archaic	0.99539	237	88	78	2	84	77	1.89012000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
O517_DA_C001KLV	O517_DA_C001KLV_hap2	chr1	89013000	89284000	1	88800562	89326878	271000	271000	1	272000	Archaic	0.99126	215	80	71	2	76	77	1.89013000.89284000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLW	O517_DA_C001KLW_hap1	chr1	89051000	89236000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.97396	173	75	66	2	71	72	1.89051000.89236000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLW	O517_DA_C001KLW_hap2	chr1	89011000	89280000	1	88800562	89326878	269000	269000	1	270000	Archaic	0.99215	213	80	71	2	76	77	1.89011000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLY	O517_DA_C001KLY_hap1	chr1	89013000	89284000	1	88800562	89326878	271000	271000	1	272000	Archaic	0.99127	214	80	71	2	76	77	1.89013000.89284000	89127023	Denisova/Altai Neanderthal	ambiguous	HL	chr1.89054418.89202534
O517_DA_C001KLY	O517_DA_C001KLY_hap2	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99317	248	91	81	2	86	80	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	HL	chr1.89054418.89202534
